Type;Committee / Working Group;Reference;Vote;Result;Status;Start date;End date;Vienna agreement;Role;English title;URL;Note;Vote in parallel with;Project ID
"NP";"ISO/TC 108/SC 2";"ISO/NP 14839-6";"";"";"Open";"2025-12-09";"2026-03-03";"";"Obligated voter";"Mechanical vibration — Vibration of rotating machinery equipped with active magnetic bearings — Part 6: Load capacity requirements, predictions and validation";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=536629";"";"";"93607"
"NP";"ISO/TC 215";"ISO/PWI 26041-1";"";"";"Open";"2025-12-09";"2026-03-03";"";"Obligated voter";"Health informatics — Disability informatics: Data elements and structures for identification and exchange of information on individuals with disability — Part 1: Part 1: Screening";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=537669";"";"";"92406"
"CIB";"ISO/TC 215";"N5155 - IEC 62A CD2 60601-1 Material hazards Frag 4";"";"";"Open";"2025-12-16";"2026-03-03";"";"Obligated voter";"";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=541669";"";"";""
"FDIS";"ISO/TC 238";"ISO/FDIS 17225-5 (Ed 3)";"";"";"Open";"2026-01-06";"2026-03-03";"Joint, ISO lead";"Obligated voter";"Solid biofuels — Fuel specifications and classes — Part 5: Graded firewood";"https://isotc.iso.org/livelink/eb3/part/fdis/ballotAction.do?method=doView&id=546789";"";"";"91137"
"SR";"ISO/CASCO";"ISO/IEC 17021-1:2015 (vers 2)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Conformity assessment — Requirements for bodies providing audit and certification of management systems — Part 1: Requirements";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512200";"";"ISO, ISO";"61651"
"CIB";"ISO/CASCO";"Systematic review CASCO PROC 33 Common Elements";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Systematic review ballot of CAS PROC 33 Common Elements for CASCO standards";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=511542";"CAS/PROC 33 defines obligatory and recommended wording for the common elements on ""impartiality"", ""confidentiality"", “competence”, ""complaints”, “appeals"" and ""management system” in CASCO standards for CABs and ABs. The clause 3 of CAS/PROC 33 specifies a vote to CASCO members after 5 years from publication based on the Systematic Review (SR) ballot criteria. This vote is taking place as a Committee Internal Ballot (CIB) as not being under the format of a IS or TS. Please refer to the accompanying document enclosed in this ballot for information about scope and application of CAS PROC 33";"";""
"SR";"ISO/IEC JTC 1";"ISO 3883:1977 (vers 7)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Office machines — Line and character capacity of address masters";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511595";"";"";"9490"
"SR";"ISO/IEC JTC 1";"ISO/IEC 5230:2020";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Information technology — OpenChain Specification";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512087";"Confirm";"";"81039"
"SR";"ISO/IEC JTC 1";"ISO 6068:1985 (vers 6)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Information processing — Recording characteristics of instrumentation magnetic tape (including telemetry systems) — Interchange requirements";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511634";"";"";"12269"
"SR";"ISO/IEC JTC 1";"ISO 7298:1985 (vers 6)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Information processing — Magnetic disk for data storage devices — 158 000 flux transitions per track, 210 mm (8.3 in) outer diameter, 100 mm (3.9 in) inner diameter";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512272";"";"";"13960"
"SR";"ISO/IEC JTC 1";"ISO/IEC 8441-2:1991 (vers 6)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Information technology — High density digital recording (HDDR) — Part 2: Guide for interchange practice";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511768";"";"";"15627"
"SR";"ISO/IEC JTC 1/SC 27";"ISO/IEC 11770-5:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Information security — Key management — Part 5: Group key management";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511883";"";"";"75295"
"SR";"ISO/IEC JTC 1/SC 27";"ISO/IEC 18032:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Information security — Prime number generation";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512006";"";"";"72009"
"SR";"ISO/IEC JTC 1/SC 27";"ISO/IEC 19772:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Information security — Authenticated encryption";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511619";"Confirmation, see N20950 - Resolution 2020/12";"";"81550"
"SR";"ISO/IEC JTC 1/SC 27";"ISO/IEC 19989-2:2020";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Information security — Criteria and methodology for security evaluation of biometric systems — Part 2: Biometric recognition performance";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512033";"";"";"72403"
"SR";"ISO/IEC JTC 1/SC 27";"ISO/IEC 20897-1:2020";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Information security, cybersecurity and privacy protection — Physically unclonable functions — Part 1: Security requirements";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511797";"";"";"76353"
"SR";"ISO/IEC JTC 1/SC 27";"ISO/IEC 27014:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Information security, cybersecurity and privacy protection — Governance of information security";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512036";"";"";"74046"
"SR";"ISO/IEC JTC 1/SC 37";"ISO/IEC 30106-2:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Information technology — Object oriented BioAPI — Part 2: Java implementation";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511681";"";"";"77893"
"SR";"ISO/IEC JTC 1/SC 37";"ISO/IEC 30106-3:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Information technology — Object oriented BioAPI — Part 3: C# implementation";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511605";"";"";"77894"
"SR";"ISO/TC 23/SC 6";"ISO 22369-1:2006 (vers 4)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Crop protection equipment — Drift classification of spraying equipment — Part 1: Classes";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511742";"";"";"34979"
"SR";"ISO/TC 23/SC 6";"ISO 22369-2:2010 (vers 3)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Crop protection equipment — Drift classification of spraying equipment — Part 2: Classification of field crop sprayers by field measurements";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512180";"";"";"44713"
"SR";"ISO/TC 23/SC 6";"ISO 22763:2006 (vers 4)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Equipment for crop protection — Sprayers — Demonstration track for field crop sprayers";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511691";"";"";"40125"
"SR";"ISO/TC 23/SC 6";"ISO 24253-1:2015 (vers 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Crop protection equipment — Spray deposition test for field crop — Part 1: Measurement in a horizontal plane";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512248";"";"";"60051"
"SR";"ISO/TC 23/SC 6";"ISO 24253-2:2015 (vers 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Crop protection equipment — Spray deposition test for field crop — Part 2: Measurement in a crop";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511894";"";"";"60052"
"SR";"ISO/TC 28/SC 4";"ISO 23306:2020";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Specification of liquefied natural gas as a fuel for marine applications";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512124";"";"ISO";"75199"
"SR";"ISO/TC 28/SC 4";"ISO 6743-4:2015 (Ed 3, vers 2)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Lubricants, industrial oils and related products (class L) — Classification — Part 4: Family H (Hydraulic systems)";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511839";"";"ISO";"60483"
"SR";"ISO/TC 29/SC 5";"ISO 525:2020 (Ed 5)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Bonded abrasive products — Shape types, designation and marking";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511884";"";"";"78476"
"SR";"ISO/TC 35/SC 9";"ISO 21227-2:2006 (vers 4)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Paints and varnishes — Evaluation of defects on coated surfaces using optical imaging — Part 2: Evaluation procedure for multi-impact stone-chipping test";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511690";"";"ISO";"34440"
"SR";"ISO/TC 35/SC 9";"ISO 6860:2006 (Ed 2, vers 4)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Paints and varnishes — Bend test (conical mandrel)";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512137";"";"ISO";"36934"
"SR";"ISO/TC 35/SC 12";"ISO 11127-1:2020 (Ed 3)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Preparation of steel substrates before application of paints and related products — Test methods for non-metallic blast-cleaning abrasives — Part 1: Sampling";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512065";"";"ISO";"75978"
"SR";"ISO/TC 35/SC 12";"ISO 11127-2:2020 (Ed 3)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Preparation of steel substrates before application of paints and related products — Test methods for non-metallic blast-cleaning abrasives — Part 2: Determination of particle size distribution";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511960";"";"ISO";"75979"
"SR";"ISO/TC 35/SC 12";"ISO 11127-3:2020 (Ed 3)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Preparation of steel substrates before application of paints and related products — Test methods for non-metallic blast-cleaning abrasives — Part 3: Determination of apparent density";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512013";"";"ISO";"75980"
"SR";"ISO/TC 35/SC 12";"ISO 11127-4:2020 (Ed 3)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Preparation of steel substrates before application of paints and related products — Test methods for non-metallic blast-cleaning abrasives — Part 4: Assessment of hardness by a glass slide test";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512267";"";"ISO";"75981"
"SR";"ISO/TC 35/SC 12";"ISO 11127-5:2020 (Ed 3)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Preparation of steel substrates before application of paints and related products — Test methods for non-metallic blast-cleaning abrasives — Part 5: Determination of moisture";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512192";"";"ISO";"75982"
"SR";"ISO/TC 35/SC 12";"ISO 11127-8:2020";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Preparation of steel substrates before application of paints and related products — Test methods for non-metallic blast-cleaning abrasives — Part 8: Field determination of water-soluble chlorides";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511625";"";"";"75606"
"SR";"ISO/TC 35/SC 12";"ISO 8501-4:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Preparation of steel substrates before application of paints and related products — Visual assessment of surface cleanliness — Part 4: Initial surface conditions, preparation grades and flash rust grades in connection with water jetting";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512009";"";"ISO";"73861"
"SR";"ISO/TC 38";"ISO 10547:2009 (vers 3)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Polyester fibre ropes — Double braid construction";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512091";"";"ISO";"45997"
"SR";"ISO/TC 38";"ISO 10554:2009 (vers 3)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Polyamide fibre ropes — Double braid construction";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511770";"";"ISO";"45998"
"SR";"ISO/TC 38";"ISO 10556:2009 (vers 3)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Fibre ropes of polyester/polyolefin dual fibres";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512064";"";"ISO";"46002"
"SR";"ISO/TC 38";"ISO 10572:2009 (vers 3)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Mixed polyolefin fibre ropes";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512305";"";"ISO";"46003"
"SR";"ISO/TC 38";"ISO 1833-12:2020 (Ed 3)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Textiles — Quantitative chemical analysis — Part 12: Mixtures of acrylic, certain modacrylics, certain chlorofibres, certain elastane fibres with certain other fibres (method using dimethylformamide)";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512193";"";"ISO";"79801"
"SR";"ISO/TC 38";"ISO 1833-18:2020 (Ed 3)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Textiles — Quantitative chemical analysis — Part 18: Mixtures of silk with wool or other animal hair (method using sulfuric acid)";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512058";"";"ISO";"79806"
"SR";"ISO/TC 38";"ISO 1833-22:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Textiles — Quantitative chemical analysis — Part 22: Mixtures of viscose or certain types of cupro or modal or lyocell with flax fibres (method using formic acid and zinc chloride)";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511687";"";"ISO";"77643"
"SR";"ISO/TC 38";"ISO 1833-24:2010 (vers 3)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Textiles — Quantitative chemical analysis — Part 24: Mixtures of polyester and certain other fibres (method using phenol and tetrachloroethane)";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512252";"";"";"44340"
"SR";"ISO/TC 38";"ISO 1833-26:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Textiles — Quantitative chemical analysis — Part 26: Mixtures of melamine with certain other fibres (method using hot formic acid)";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511821";"";"ISO";"79807"
"SR";"ISO/TC 38";"ISO 1833-3:2020 (Ed 3)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Textiles — Quantitative chemical analysis — Part 3: Mixtures of acetate with certain other fibres (method using acetone)";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511683";"";"ISO";"79800"
"SR";"ISO/TC 38";"ISO 22992-2:2020";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Textiles — Determination of certain preservatives — Part 2: Determination of triclosan residues method using LC-MS/MS";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512125";"";"";"74301"
"SR";"ISO/TC 44/SC 10";"ISO 23493:2020";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Welding and allied processes — Process specification for laser-arc hybrid welding for metallic materials";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511606";"";"";"75751"
"CD";"ISO/TC 46";"ISO/CD TS 17955.2";"";"";"Open";"2026-01-06";"2026-03-04";"";"Obligated voter";"Information and documentation — Information Governance — Implementation framework";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=550289";"ISO/CD TS 17955 is re-launch for a 8-week CD ballot as the original content in OSD was blank.";"";"85109"
"SR";"ISO/TC 58/SC 4";"ISO 21007-2:2015 (Ed 3, vers 2)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Gas cylinders — Identification and marking using radio frequency identification technology — Part 2: Numbering schemes for radio frequency identification";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512135";"";"ISO";"63131"
"SR";"ISO/TC 59/SC 18";"ISO 10845-1:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Construction procurement — Part 1: Processes, methods and procedures";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511583";"";"";"72467"
"SR";"ISO/TC 59/SC 18";"ISO 10845-2:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Construction procurement — Part 2: Formatting and compilation of procurement documentation";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511630";"";"";"72234"
"SR";"ISO/TC 89";"ISO 3340:1976 (vers 7)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Fibre building boards — Determination of sand content";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511968";"";"";"8621"
"SR";"ISO/TC 89/SC 3";"ISO 18775:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Veneers — Terms and definitions, determination of physical characteristics and tolerances";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512056";"";"";"75050"
"SR";"ISO/TC 92/SC 2";"ISO 10295-2:2009 (vers 3)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Fire tests for building elements and components — Fire testing of service installations — Part 2: Linear joint (gap) seals";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512093";"";"";"50254"
"SR";"ISO/TC 92/SC 2";"ISO 12472:2003 (vers 4)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Fire resistance of timber door assemblies - Method of determining the efficacy of intumescent seals";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511854";"";"";"37626"
"SR";"ISO/TC 92/SC 2";"ISO 6944-2:2009 (vers 3)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Fire containment — Elements of building construction — Part 2: Kitchen extract ducts";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512079";"";"";"43424"
"SR";"ISO/TC 92/SC 4";"ISO 20414:2020";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Fire safety engineering — Verification and validation protocol for building fire evacuation models";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511592";"";"";"78348"
"SR";"ISO/TC 92/SC 4";"ISO/TS 21602:2022";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Fire safety engineering — Estimating the reduction in movement speed based on visibility and irritant species concentration";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511651";"";"";"79317"
"SR";"ISO/TC 92/SC 4";"ISO/TS 29761:2015 (vers 3)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Fire safety engineering — Selection of design occupant behavioural scenarios";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511699";"";"";"45659"
"SR";"ISO/TC 107";"ISO 14571:2020";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Metallic coatings on non-metallic basis materials — Measurement of coating thickness — Micro-resistivity method";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512230";"";"";"79417"
"SR";"ISO/TC 107";"ISO 16866:2020";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Metallic and other inorganic coatings — Simultaneous thickness and electrode potential determination of individual layers in multilayer nickel deposits (STEP test)";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511579";"";"";"57839"
"SR";"ISO/TC 107";"ISO 2746:2015 (Ed 3, vers 2)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, CEN lead";"Obligated voter";"Vitreous and porcelain enamels — High voltage test";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512106";"";"CEN";"61466"
"SR";"ISO/TC 121/SC 1";"ISO 26825:2020 (Ed 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Anaesthetic and respiratory equipment — User-applied labels for syringes containing drugs used during anaesthesia — Colours, design and performance";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512126";"";"";"76678"
"SR";"ISO/TC 121/SC 1";"ISO 5356-1:2015 (Ed 4, vers 2)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Anaesthetic and respiratory equipment — Conical connectors — Part 1: Cones and sockets";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512041";"";"ISO";"54851"
"SR";"ISO/TC 121/SC 3";"ISO 23747:2015 (Ed 2, vers 2)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, ISO lead";"Obligated voter";"Anaesthetic and respiratory equipment — Peak expiratory flow meters for the assessment of pulmonary function in spontaneously breathing humans";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512142";"";"ISO";"64926"
"SR";"ISO/TC 121/SC 3";"IEC 60601-1-12:2014 (vers 2)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Medical Electrical Equipment — Part 1-12: General requirements for basic safety and essential performance — Collateral Standard: Requirements for medical electrical equipment and medical electrical systems used in the emergency medical services environment";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512159";"";"IEC";"59536"
"SR";"ISO/TC 121/SC 3";"IEC 60601-1-8:2006 (Ed 2, vers 3)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Medical electrical equipment — Part 1-8: General requirements for basic safety and essential performance — Collateral standard: General requirements, tests and guidance for alarm systems in medical electrical equipment and medical electrical systems";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511715";"";"IEC";"41986"
"CIB";"ISO/TC 121/SC 3";"Fragment 03 IEC/CD2 60601-1 (4th ed), user interface";"";"";"Open";"2025-12-20";"2026-03-04";"";"Obligated voter";"Medical electrical equipment - Part 1: General requirements for basic safety and essential performance - User interface hazards (Fragment 3)";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=545569";"";"";""
"CIB";"ISO/TC 121/SC 3";"Fragment 04 IEC/CD2 60601-1 (4th ed), materials";"";"";"Open";"2025-12-20";"2026-03-04";"";"Obligated voter";"Medical electrical equipment - Part 1: General requirements for basic safety and essential performance - Materials hazards (Fragment 4)";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=545589";"";"";""
"CIB";"ISO/TC 121/SC 3";"Fragment 09 IEC/CD1 60601-1 (4th ed), optical";"";"";"Open";"2025-12-20";"2026-03-04";"";"Obligated voter";"Medical electrical equipment - Part 1: General requirements for basic safety and essential performance - Optical radiation hazards (Fragment 9)";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=545609";"";"";""
"SR";"ISO/TC 134";"ISO 14820-3:2020";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Fertilizers and liming materials — Sampling and sample preparation — Part 3: Sampling of static heaps";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511623";"";"";"72688"
"SR";"ISO/TC 134";"ISO 19747:2020";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Fertilizers and soil conditioners — Determination of monosilicic acid concentrations in nonliquid fertilizer materials";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511958";"";"";"78511"
"SR";"ISO/TC 134";"ISO 22887:2020";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Determination of total sulfur in fertilizers by high temperature combustion";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512167";"";"";"74079"
"SR";"ISO/TC 138/SC 1";"ISO/TS 7024:2005 (vers 4)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Plastics piping systems for soil and waste discharge (low and high temperature) inside buildings — Thermoplastics — Recommended practice for installation";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511849";"";"";"32985"
"SR";"ISO/TC 138/SC 2";"ISO/TS 21003-7:2019 (Ed 2, vers 2)";"";"";"Open";"2025-10-15";"2026-03-04";"Joint, CEN lead";"Obligated voter";"Multilayer piping systems for hot and cold water installations inside buildings — Part 7: Guidance for the assessment of conformity";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=511649";"";"CEN";"63015"
"SR";"ISO/TC 138/SC 4";"ISO 6993-1:2006 (vers 4)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Buried, high-impact poly(vinyl chloride) (PVC-HI) piping systems for the supply of gaseous fuels — Part 1: Pipes for a maximum operating pressure of 1 bar (100 kPa)";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512000";"";"";"36964"
"SR";"ISO/TC 138/SC 4";"ISO 6993-2:2006 (vers 4)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Buried, high-impact poly(vinyl chloride) (PVC-HI) piping systems for the supply of gaseous fuels — Part 2: Fittings for a maximum operating pressure of 200 mbar (20 kPa)";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512047";"";"";"36965"
"SR";"ISO/TC 138/SC 4";"ISO 6993-3:2006 (vers 4)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Buried, high-impact poly(vinyl chloride) (PVC-HI) piping systems for the supply of gaseous fuels — Part 3: Fittings and saddles for a maximum operating pressure of 1 bar (100 kPa)";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512187";"";"";"36966"
"SR";"ISO/TC 138/SC 4";"ISO 6993-4:2006 (vers 4)";"";"";"Open";"2025-10-15";"2026-03-04";"";"Obligated voter";"Buried, high-impact poly(vinyl chloride) (PVC-HI) piping systems for the supply of gaseous fuels — Part 4: Code of practice for design, handling and installation";"https://isotc.iso.org/livelink/eb3/part/sr/ballotAction.do?method=doView&id=512151";"";"";"36967"
