Type;Committee;Reference;Vote;Result;Status;Opening date;Closing date;Closed on;Vienna agreement;Work Item ID;Work Item Number;Role;Title;URL;Note
"CIB-AdopPWI";"CEN/TC 127";"Decision 1176: PWI for TR to support EN 13823";"";"";"Open";"2025-12-22";"2026-02-22";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=176296";"This Technical Report will explain the impact of changes to the light source for smoke measurement. The WG4 Convenor has explained that the issue for the SBI test (EN 13823:2020+A1:2022 ‘Reaction to fire tests for building products - Building products excluding floorings exposed to the thermal attack by a single burning item’) is that the halogen bulb is no longer available. The solution is to produce an amendment to the standard allowing the use of a LED bulb and at the same time publishing a TR to explain that the new light system is statistically insignificant, so previous test results are still valid – changing the light bulb doesn’t impact the results of the test.    Regarding the identifier/number of the TR, the Secretary will look into the possbility of using CEN/TR 13823-0 in order to link it to the standard."
"CIB-AdopPWI";"CEN/TC 127";"Decision 1177: PWI for for the revision of EN 13501-1:2018";"";"";"Open";"2025-12-22";"2026-02-22";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=176316";"The existing PWI 00127444 has expired, so Decision 1177 was taken to create a new PWI so that the revision work on EN 13501-1:2018 can continue."
"CIB-AdopPWI";"CEN/TC 127";"Decision 1178: PWI for Fire safety – Facades – Test method";"";"";"Open";"2025-12-22";"2026-02-22";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=176336";"CEN/TC 127 WG 10 has agreed to focus on a PWI for a test method including facades fire safety related terms and definitions. The document, starting with terms and definitions, will be able to adapt to the future standardisation request."
"FV";"CEN/TC 162";"FprEN ISO 15027-1";"";"";"Open";"2025-12-25";"2026-02-23";"n/a";"VA/ISO";"69242";"00162440";"Voter";"Immersion suits - Part 1: Safety and performance requirements for constant wear suits (ISO/FDIS 15027-1:2025)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=176498";""
"FV";"CEN/TC 162";"FprEN ISO 15027-2";"";"";"Open";"2025-12-25";"2026-02-23";"n/a";"VA/ISO";"69243";"00162441";"Voter";"Immersion suits - Part 2: Safety and performance requirements for abandonment suits (ISO/FDIS 15027-2:2025)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=176441";""
"FV";"CEN/TC 162";"FprEN ISO 15027-3";"";"";"Open";"2025-12-25";"2026-02-23";"n/a";"VA/ISO";"69244";"00162442";"Voter";"Immersion suits - Part 3: Test methods (ISO/FDIS 15027-3:2025)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=176466";""
"CIB";"CEN/TC 175";"prEN 16755 - revised Title and Scope - draft decision";"";"";"Open";"2026-01-16";"2026-02-23";"n/a";"None";"";"";"Voter";"prEN 16755 revised Title and Scope proposed by CEN/TC 175/WG 39 after handling Enquiry comments";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=179556";""
"CIB-NWI";"CEN/TC 191";"Decision 33/2025: NWI for revision of EN 12845";"";"";"Open";"2025-12-23";"2026-02-23";"n/a";"None";"";"";"Voter";"2-months CIB to create an NWI (adopted WI) for a revision of EN 12845 '‘Fixed firefighting systems - Automatic sprinkler systems - Design, installation and maintenance’'";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=176376";"This is a CIB for a NWI to revise EN 12845 (specifically EN 12845:2015+A1:2019+A2:2026) to be published as EN 12845-1:2026. Commitment to participate by 5 or more CEN Members is needed, so if voting approval please remember to commit to participate as well. IF THIS CRITERION IS NOT MET THE PROPOSAL WILL BE REJECTED. David Hyde Secretary of CEN/TC 191"
"Enquiry";"CEN/TC 230";"prEN ISO 13169";"";"";"Open";"2025-12-04";"2026-02-23";"n/a";"VA/ISO";"82645";"00230478";"Voter";"Water quality - Uranium - Test method using alpha liquid scintillation counting (ISO/DIS 13169:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=171556";""
"CIB-ActivPWI";"CEN/TC 133";"Activation PWI 12163";"";"";"Open";"2025-12-12";"2026-02-24";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=173836";""
"CIB-ActivPWI";"CEN/TC 133";"Activation PWI 12164";"";"";"Open";"2025-12-12";"2026-02-24";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=173876";""
"CIB-ActivPWI";"CEN/TC 133";"Activation PWI 12165";"";"";"Open";"2025-12-12";"2026-02-24";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=173896";""
"CIB-ActivPWI";"CEN/TC 133";"Activation PWI 12166";"";"";"Open";"2025-12-12";"2026-02-24";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=173897";""
"CIB-ActivPWI";"CEN/TC 133";"Activation PWI 12167";"";"";"Open";"2025-12-12";"2026-02-24";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=173916";""
"CIB-ActivPWI";"CEN/TC 133";"Activation PWI 12168";"";"";"Open";"2025-12-12";"2026-02-24";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=173936";""
"CIB-ActivPWI";"CEN/TC 133";"Activation PWI 12420";"";"";"Open";"2025-12-12";"2026-02-24";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=173816";""
"CIB-AdopPWI";"CEN/TC 459/SC 2";"Draft decision 22/2025: Adoption of PWI - prEN XXX";"";"";"Open";"2025-12-30";"2026-02-24";"n/a";"None";"";"";"Voter";"Steel - Determination of hydrogen (routine method)";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=167176";"In accordance with Decision 6/2025 taken on the plenary meeting 2025-10-09, we are now launching this CIB for adoption of a preliminary work item (PWI) for determination of hydrogen. We kindly ask you to cast your vote on this CIB no later than 2026-02-24."
"CIB";"CEN/TC 33";"CEN/TC 33 N 4562 – Draft Decision D 1655c/2026";"";"";"Open";"2026-01-28";"2026-02-25";"n/a";"None";"";"";"Voter";"Re-appointment of the Chairman of the CEN/TC 33";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181596";""
"CIB";"CEN/TC 98";"Call for experts, convenor and secretariat for TC98/WG6";"";"";"Open";"2025-12-03";"2026-02-25";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=171396";"DECISION 012/2025 – Plenary Virtual Topic: Start CIB for experts of WG6 CEN/TC98 decided to start a 8 week CIB for a call for experts, convenor and secretary to revise EN 1494, Mobile or movable jacks and associated lifting equipment to get this standard listed in the OJEU under the new Machinery Regulation."
"CIB-AdopPWI";"CEN/TC 126";"""Perception survey"" cib";"";"";"Open";"2026-01-28";"2026-02-25";"n/a";"None";"";"";"Voter";"Consultation for registration of a new work item about ""Noise environment in a dwelling – Perception survey”";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181576";"During the CEN/TC126 plenary meeting (2025), CEN/TC126 members agreed to take the decision of adoption of the NWIP proposed by France about ""Noise environment in a dwelling – Perception survey” in the coming year. You'll find attached the NWIP proposal for your review. The decision of adoption of this new topic will be taken at the next plenary meeting."
"FV";"CEN/TC 138";"FprEN ISO 15548-1";"";"";"Open";"2025-12-25";"2026-02-25";"n/a";"VA/ISO";"78334";"00138284";"Voter";"Non-destructive testing - Equipment for eddy current examination - Part 1: Instrument characteristics and verification (ISO/FDIS 15548-1:2025)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=176461";""
"CIB";"CEN/TC 194";"WG 10: Nomination of a new Convenor";"";"";"Open";"2026-01-14";"2026-02-25";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=178916";"Mr Boyat, current WG 10 convenor left his compagny. It is suggested to nominate Ikram Hamdaoui also from Aperam as new WG 10 Convenor."
"CIB";"CEN/TC 289";"CEN/TC 289 N 1267 - Draft decision N 1/2026";"";"";"Open";"2026-01-28";"2026-02-25";"n/a";"None";"";"";"Voter";"Appointment of WG 1 Convenor";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181676";""
"Enquiry";"ASD-STAN";"prEN 9300-110";"";"";"Open";"2025-12-04";"2026-02-26";"n/a";"None";"82300";"04004971";"Voter";"Aerospace series - LOTAR - Long Term Archiving and Retrieval of digital technical product documentation such as 3D CAD and PDM data - Part 110: CAD mechanical 3D Explicit geometry information";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=171518";""
"FV";"CEN/TC 72";"FprCEN/TS 54-14";"";"";"Open";"2025-12-04";"2026-02-26";"n/a";"None";"78339";"00072175";"Voter";"Fire detection and fire alarm systems - Part 14: Guidelines for planning, design, installation, commissioning, use and maintenance";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=171618";""
"FV";"CEN/TC 19";"FprEN ISO 24966";"";"";"Open";"2026-01-08";"2026-02-27";"n/a";"VA/ISO";"81107";"00019672";"Voter";"Determination of flash point - Modified continuously closed cup flash point (MCCCFP) method (ISO/FDIS 24966:2026)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=177080";""
"CIB";"CEN/TC 164";"Call for convenor - WG 10";"";"";"Open";"2026-01-28";"2026-02-27";"n/a";"None";"";"";"Voter";"Call for new convenor - CEN/TC 164/WG 10 ""Hot water and cold water storage within dwellings""";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181756";"Dear members,  Following Mr Martyn Griffiths retirement, we launch this call for convenor. We ask each delegation to present their candidate if they have one, before 2026-02-27, with an updated resume and confirmation of committed support from their National Standard Body. Please note that Mr Alan Clarke, expert in WG10, is already candidate. Enclosed, the candidacy of Mr Clarke, supported by BSI."
"CIB-AdopFV";"CEN/TC 269";"Draft Decision C02/2026: Launch a Formal Vote prEN 12952-1";"";"";"Open";"2026-01-13";"2026-02-27";"n/a";"None";"";"";"Voter";"Draft Decision by Correspondence 02/2026 - prEN 12952-1 - Decision to launch a Formal Vote";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=178416";""
"CIB";"CEN/TC 185";"Draft Decision C11/2025";"";"";"Open";"2025-12-06";"2026-02-28";"n/a";"None";"";"";"Voter";"proposal received to review if CEN/TC 185 will expand its scope in order to set up a new WG for Post-installed fasteners";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=172196";"CPR generally requests for harmonization of technical rules and establishing of Digital Product Passport (DPP). For product group “Fixings” (Product Group 33), which can include Post Installed Fasteners, it is likely that a CPR Aquis process will be started in some years to develop a standardization request (SReq). Document N776 informs, what is understood by the expression “Post Installed Fasteners” in this context. Document N 775 shows the presentation given by Mrs. Barbara Sorgato during the last meeting of CEN/TC 185, expressing that it can be helpful that a qualified expert group prepares input for technical requirements for Post Installed Fasteners, to support work in CPR Aquis process. This can be a starting point for definition of essential characteristics in SReq for these products. This issue is currently outside the scope of CEN/TC 185 and respective experts are not member of CEN/TC 185. Document N781 again expresses the opinion of Mrs. Sorgato and ECAP, and as well is offering to name the needed experts. On the other hand, in Document N780, the association CFE, as well representing producers of Post Installed Fasteners, expresses doubts that installing this expert group in CEN/TC 185 is the right way. Other suggestions are to leave this issue to CEN/TC 104 (concrete) or creating a new TC in CEN. So according to Decision 09/2025 taken by CEN/TC 185 (virtual meeting) on 2025-11-13, CEN/TC 185 is asked to choose one of the following options: Option A: CEN/TC 185 keeps its scope as it is and consequently the described technical preparations will need to be done outside CEN/TC 185. Option B: CEN/TC 185 expands its scope and adds “Post Installed Fasteners”. CEN/TC 185 provides the organizational framework by creating an additional new Working Group. Experts will have to be nominated by relevant stakeholders and a Convenor appointed."
"CIB";"CEN/TC 250/SC 5";"Draft prCEN/TS 1995-1-101 for committee internal commenting";"";"";"Open";"2025-12-17";"2026-02-28";"n/a";"None";"";"";"Voter";"Draf prCEN/TS 1995-1-101 for committee internal commenting";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=174936";"prCEN/TS 1995-1-101 provides provisions for ‒numerical analysis of internal forces with subsequent design verification according to EN 1995-1-1, and ‒direct numerical design verification, i.e., a direct comparison of computed stresses and strengths. The latter opens new design possibilities for building practice, which is an important further development of structural design in the light of digitisation and BIM. Figure 4-1 gives an overview of the document.   The current draft focuses on the general methodology for a numerical design of timber structures, e.g. the design methods, verification, and validation. Specific modelling information is still partly under discussion. Placeholders * and ""drafting notes"" are inserted in the document where additional information will be given.   There are still some shortcomings of the formatting of tables, etc. with the OSD tool, which was used for drafting the document. This are known and will be resolved.   The current version was drafted with the aim of covering most relevant aspects and, therefore, includes several clauses that would be better placed in EN 1990 and EN 1995-1-1 (e.g., parts of Clauses 4 and 5.1). In parallel to the Technical Specification (TS), a BackGround Report (BGR) is prepared that will be published in parallel with the TS. The BGR report will contain background information on clauses, additional modelling information, modelling examples, and benchmarks. You are welcome to indicate, whether you think that specific clauses should be rather placed in EN 1990, EN 1995-1-1, or the BGR.   The document aligns with the methods described in EN 1993-1-14, even if some terms were slightly modified for the sake of clarity. The discussions with the group drafting EN 1990, Annex I on “Numerical methods” are ongoing.   The aim is to finalise a first version of the TS until end of 2026 for vote. Due to the scale of the topic, there will still be many topic specific gaps, e.g., fatigue, that need to be closed in the following years and versions.   For this informal enquiry, we like to draw the attention to the more general aspects of the document, e.g., the design methods in Clause 4, and the verification and validation in Clause 7. You are very welcome to also comment and give input on modelling details, but please keep in mind that many details, e.g., the interaction of failure criteria in Clause 5.6.3, are still under discussion.   Unfortunately, at the moment OSD does not facilitate for a committee internal commenting such as this, and we therefore kindly ask that comments are provided using the commenting form. Please refer to this link for how to correctly use the commenting form: https://boss.cen.eu/reference-material/Guidancedoc/Pages/GD-ComForm"
"CIB";"CEN/TC 454";"N 450 CIB for the re-appointment of the chairman";"";"";"Open";"2026-01-07";"2026-02-28";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=176776";""
"CIB";"CEN/TC 462";"CIB 01/2025 - Call for Volunteers";"";"";"Open";"2025-12-10";"2026-02-28";"n/a";"None";"";"";"Voter";"Call for Volunteers for CEN/TC 461/WG1 convenorship and EN 17937 Project Leadership";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=172856";"Dear Member of CEN/TC 462,    At the last CEN/TC 462 meeting, Mr. Alex van Gelderen has resigned from his positions as  convenor of CEN/TC 461/WG1 and project leader of EN 17937.    In light of his resignation, we are now seeking volunteers to fill these important positions:    1/ We are seeking a Project Leader for EN 17937, responsible for piloting the round robin  test and updating the draft standard before the second CEN enquiry.    2/ We are seeking a Convenor for CEN/TC 461/WG1, responsible for facilitating  discussions within WG1 to finalize EN 17937."
"CIB-AdopPWI";"CEN/TC 136";"DraftDec.10/2026 - PWI for Sustainable Fitness club operatio";"";"";"Open";"2026-01-28";"2026-03-02";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181696";""
"Enquiry";"CEN/TC 262";"prEN ISO 28706-2";"";"";"Open";"2025-12-11";"2026-03-02";"n/a";"VA/ISO";"80522";"00262380";"Voter";"Vitreous and porcelain enamels - Determination of resistance to chemical corrosion - Part 2: Determination of resistance to chemical corrosion by boiling acids, boiling neutral liquids, alkaline liquids and/or their vapours (ISO/DIS 28706‑2:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=172979";""
"Enquiry";"CEN/TC 262";"prEN ISO 28706-4";"";"";"Open";"2025-12-11";"2026-03-02";"n/a";"VA/ISO";"80180";"00262378";"Voter";"Vitreous and porcelain enamels - Determination of resistance to chemical corrosion - Part 4: Determination of resistance to chemical corrosion by alkaline liquids using a cylindrical vessel (ISO/DIS 28706-4:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=172958";""
"Enquiry";"Sectors";"prEN ISO 14001";"";"";"Open";"2025-12-18";"2026-03-02";"n/a";"VA/ISO";"82520";"CSS26079";"Voter";"Environmental management systems - Requirements with guidance for use (ISO/FDIS 14001:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=175065";""
"FV";"CEN/TC 137";"FprEN ISO 13977-1";"";"";"Open";"2026-01-08";"2026-03-03";"n/a";"VA/ISO";"76388";"00137093";"Voter";"Workplace air - Assessment of dermal exposure - Part 1: Framework for dermal exposure assessment (ISO/FDIS 13977‑1:2026)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=177100";""
"FV";"CEN/TC 140";"FprEN ISO 22367";"";"";"Open";"2026-01-08";"2026-03-03";"n/a";"VA/ISO";"78630";"00140162";"Voter";"Medical laboratories - Application of risk management to medical laboratories (ISO/FDIS 22637:2026)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=177117";""
"Enquiry";"CEN/TC 144";"prEN ISO 24882";"";"";"Open";"2025-12-11";"2026-03-03";"n/a";"VA/ISO";"80721";"00144441";"Voter";"Agricultural machinery, tractors, and earth-moving machinery - Product cybersecurity (ISO/DIS 24882:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=172996";""
"CIB-ActivPWI";"CEN/TC 269";"Draft Decision C01/2026: Activation of PWI EN 12953-13";"";"";"Open";"2026-01-13";"2026-03-03";"n/a";"None";"";"";"Voter";"Draft Decision by Correspondence 01/2026 - prEN 12953-13 - Activation of the Preliminary Work Item";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=178376";"Commitment to participate by 5 or more CEN Members is needed, so if voting approval please remember to commit to participate as well. IFTHIS CRITERION IS NOT MET THE PROPOSAL WILL BE REJECTED."
"FV";"CEN/TC 335";"FprEN ISO 17225-5";"";"";"Open";"2026-01-08";"2026-03-03";"n/a";"VA/ISO";"81147";"00335176";"Voter";"Solid biofuels - Fuel specifications and classes - Part 5: Graded firewood (ISO/FDIS 17225-5:2026)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=177120";""
"SR";"CEN/CLC/JTC 5";"EN 16602-60-14:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"69970";"JT005164";"Voter";"Space product assurance - Relifing procedure - EEE components";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164028";""
"SR";"CEN/CLC/JTC 5";"EN 16603-20-06:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"67878";"JT005159";"Voter";"Space engineering - Spacecraft charging";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164057";""
"SR";"CEN/CLC/JTC 5";"EN 16603-60-20:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"68090";"JT005162";"Voter";"Space engineering - Star sensor terminology and performance specification";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164045";""
"SR";"CEN/CLC/JTC 5";"EN 16604-30-03:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"65896";"JT005144";"Voter";"Space - Space Situational Awareness Monitoring - Part 30-03: Observation System Data Message (OSDM)";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164025";""
"SR";"CEN/CLC/JTC 5";"EN 16803-1:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"66697";"JT005152";"Voter";"Space - Use of GNSS-based positioning for road Intelligent Transport Systems (ITS) - Part 1: Definitions and system engineering procedures for the establishment and assessment of performances";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164053";""
"SR";"CEN/CLC/JTC 5";"EN 16803-2:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"40532";"JT005090";"Voter";"Space - Use of GNSS-based positioning for road Intelligent Transport Systems (ITS) - Part 2: Assessment of basic performances of GNSS-based positioning terminals";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164012";""
"SR";"CEN/CLC/JTC 5";"EN 16803-3:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"40533";"JT005091";"Voter";"Space - Use of GNSS-based positioning for road Intelligent Transport Systems (ITS) - Part 3: Assessment of security performances of GNSS-based positioning terminals";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164013";""
"SR";"CEN/CLC/JTC 5";"EN 17350:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"65897";"JT005145";"Voter";"SCM - Scheduling and Commanding Message - Standard";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164026";""
"SR";"CEN/TC 10";"EN 81-40:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"64740";"00010125";"Voter";"Safety rules for the construction and installation of lifts - Special lifts for the transport of persons and goods - Part 40: Stairlifts and inclined lifting platforms intended for persons with impaired mobility";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164035";""
"SR";"CEN/TC 33";"EN 12046-1:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"65022";"00033532";"Voter";"Operating forces - Test method - Part 1: Windows";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164031";""
"SR";"CEN/TC 33";"EN 13115:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"65023";"00033533";"Voter";"Windows - Classification of mechanical properties - Racking, torsion and operating forces";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164032";""
"SR";"CEN/TC 38";"EN 73:2020+A1:2024";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"79098";"00038248";"Voter";"Durability of wood and wood-based products - Accelerated ageing of treated wood prior to biological testing - Evaporative ageing procedure";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164070";""
"SR";"CEN/TC 38";"EN 84:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"61749";"00038203";"Voter";"Durability of wood and wood-based products - Accelerated ageing of treated wood prior to biological testing - Leaching procedure";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164015";""
"SR";"CEN/TC 51";"EN 15743:2010+A1:2015";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"59508";"00051130";"Voter";"Supersulfated cement - Composition, specifications and conformity criteria";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164019";""
"SR";"CEN/TC 51";"EN 196-7:2007";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"28408";"00051091";"Voter";"Methods of testing cement - Part 7: Methods of taking and preparing samples of cement";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163989";""
"SR";"CEN/TC 107";"EN 17414-1:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"67725";"00107069";"Voter";"District cooling pipes - Factory made flexible pipe systems - Part 1: Classification, general requirements and test methods";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164039";""
"SR";"CEN/TC 107";"EN 17414-2:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"67726";"00107070";"Voter";"District cooling pipes - Factory made flexible pipe systems - Part 2: Bonded system with plastic service pipes; requirements and test methods";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164040";""
"SR";"CEN/TC 107";"EN 17414-3:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"67727";"00107071";"Voter";"District cooling pipes - Factory made flexible pipe systems - Part 3: Non bonded system with plastic service pipes; requirements and test methods";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164041";""
"SR";"CEN/TC 107";"EN 17415-1:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"59238";"00107055";"Voter";"District cooling pipes - Bonded single pipe systems for directly buried cold water networks - Part 1: Factory made pipe assembly of steel or plastic service pipe, polyurethane thermal insulation and a casing of polyethylene";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164021";""
"SR";"CEN/TC 127";"EN 13381-1:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"68937";"00127389";"Voter";"Test methods for determining the contribution to the fire resistance of structural members - Part 1: Horizontal protective membranes";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164027";""
"SR";"CEN/TC 127";"EN 15269-20:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"40546";"00127286";"Voter";"Extended application of test results for fire resistance and/or smoke control for door, shutter and openable window assemblies, including their elements of building hardware - Part 20: Smoke control for doors, shutters, operable fabric curtains and openable windows";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164002";""
"SR";"CEN/TC 129";"EN 15998:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"68306";"00129247";"Voter";"Glass in building - Safety in case of fire, fire resistance - Glass testing methodology for the purpose of classification";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164063";""
"SR";"CEN/TC 131";"EN 12514:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"64508";"00131008";"Voter";"Components for supply systems for consuming units with liquid fuels";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164069";""
"SR";"CEN/TC 139";"EN 13523-16:2004";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"22545";"00139249";"Voter";"Coil coated metals - Test methods - Part 16: Resistance to abrasion";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163971";""
"SR";"CEN/TC 139";"EN 13523-4:2014";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"37736";"00139464";"Voter";"Coil coated metals - Test methods - Part 4: Pencil hardness";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=163996";""
"SR";"CEN/TC 150";"EN 16842-10:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"66817";"00150122";"Voter";"Powered industrial trucks - Visibility - Test methods and verification - Part 10: Towing and Pushing tractors and Burden carrier";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164042";""
"SR";"CEN/TC 154";"EN 933-2:2020";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"65905";"00154185";"Voter";"Tests for geometrical properties of aggregates - Part 2: Determination of particle size distribution - Test sieves, nominal size of apertures";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164037";""
"SR";"CEN/TC 164";"EN 12518:2014";"";"";"Open";"2025-10-15";"2026-03-04";"n/a";"None";"39567";"00164524";"Voter";"Chemicals used for treatment of water intended for human consumption - High-calcium lime";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=164008";""
